Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
B02849,BROOKLYN RIDES CORP,,2018,11,November,"16,493",192,122
B02686,STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.,,2018,7,July,61,0,15
B01741,MONACO LIMO & CAR SERVICES INC.,,2016,9,September,"1,790",0,12
b00965,BEN JEVO MGT. INC.,NEWPORT CAR SERVICE,2016,1,January,"7,623",0,49
B02509,NY MINUTE CAR SERVICE INC.,,2018,9,September,"9,284",0,54
B02790,"LAN TIAN CAR SERVICE, INC",,2018,11,November,6,0,2
B01381,CLASSIC CAR SERVICE CORP.,PAISA CLASSIC,2016,6,June,"4,173",0,45
B01876,QUALITY EXECUTIVE LIMOUSINE L.L.C,,2018,5,May,35,0,5
B00202,"EXCELSIOR CAR & LIMO, INC.",,2018,9,September,228,0,8
B03105,MAZNA TRANSPORTATION CORPORATION,,2018,10,October,142,0,9
B02727,OSCAR LIMOUSINE INC,,2018,6,June,366,0,4
B02427,LA RANCHERA EXPRESS CORP.,,2016,3,March,"1,323",0,6
B00481,806 SERVICE LLC,18TH AVENUE PRIVATE CAR SERVICE INC,2016,9,September,"1,897",0,10
B02637,ROOSEVELT CAR & LIMO INC.,,2018,5,May,21,0,4
B02505,TRELAWNY CAR SERVICE INC,,2015,12,December,76,0,10
B01326,DEBORAH C/L SVC INC,,2017,6,June,727,0,29
B01379,J.J.S. TRANSPORTATION CO. INC.,GRANT CITY CAR SVC,2015,5,May,"1,441",0,9
B01300,KENNEDY RAD DISP INC,,2018,8,August,"13,405",0,111
B02956,W.K.EXPRESS LIMO SERVICE INC,,2018,8,August,1,0,1
B02352,"SUPER FAST LIMOUSINE SERVICE, INC.",,2018,1,January,"5,115",0,26
B02027,"PARIS LIMOUSINE SERVICE, CORP",,2018,3,March,"1,434",0,36
B02594,FENIX MOBILE DISPATCHERS LTD,,2018,2,February,912,0,7
b01009,UNITED LIMO C/M SVC CORP,,2016,1,January,"1,455",0,15
B02709,DASH CAR SERVICE CORP,,2017,6,June,670,136,2
B00381,BELL RADIO INC,,2017,9,September,"4,672",0,104
B01328,DV LUXURY CAR SERVICE INC,RIDE SAFE CAR SERVICE,2017,4,April,820,0,67
B01332,SKYWAY CAR SERVICE EXPRESS INC.,,2017,8,August,"1,421",0,19
B02851,GALLANT CAR SERVICE CORP.,,2017,7,July,95,0,1
